Bestandsnaam;Bestandsmappen;Bron_Onderwerp;Bron_Afzender;Bron_Ontvangstdatum;Bron_Emailadres;Map1;Map2;Map3;Map4;Situatie;Onderwerp;Relatietypering;Relatie;Kringlidtypering;Documenttypering
INL26F03174492\_A00973551\_06242026-13..pdf;;ANWB Parkeren factuur: INL26F03174492;ANWB Parkeren;2026-06-24 12:54:45;noreply\_anwbparkeren\@yellowbrick.nl;;;;;;;;;;Factuur
Jaaropgaaf\_Medewerker\_20202931.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Jaaropgave
APK-herinneringsbrief2639.pdf;N\:overheid\RDW;;;;;overheid;RDW;;;Geval;;Overheid;RDW;;Brief
APKBriefachterzijdebanden2640.pdf;N\:overheid\RDW;;;;;overheid;RDW;;;Geval;;Overheid;RDW;;Brief
Brief verzekeringplicht VW P 682 FJ   300320222641.pdf;N\:overheid\RDW;;;;;overheid;RDW;;;Geval;;Overheid;RDW;;Brief
RDV 2e deel tenamstellingscode P 682 FJ   010320222642.pdf;N\:overheid\RDW;;;;;overheid;RDW;;;Geval;;Overheid;RDW;;
RDW brief herinnering verlopen rijbewijs   220820222643.pdf;N\:overheid\RDW;;;;;overheid;RDW;;;Geval;;Overheid;RDW;;Rijbewijs
RDW Tenaamstellingsverslag P 682 FJ   010320222644.pdf;N\:overheid\RDW;;;;;overheid;RDW;;;Geval;;Overheid;RDW;;Verslag
Rijbewijs-herinneringsbrief Theo2645.pdf;N\:overheid\RDW;;;;;overheid;RDW;;;Geval;;Overheid;RDW;;Rijbewijs
standaard\_brief\_RDW[1]2646.doc;N\:overheid\RDW;;;;;overheid;RDW;;;Geval;;Overheid;RDW;;Brief
1c5b8cad-8eb7-4614-aa40-8215224b9d6f SVB   toekenning AOW2647.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;
6f313c87-bc08-4210-a67a-d9df81a806cb AOW   specificatie januari 20132648.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;
Aanvraag AOW pensioen Riet Geurts2649.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;Aanvraag
Aanvraag AOW pensioen Theo Geurts2650.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;Aanvraag
AOW AnW 20152651.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;
AOW specificatie januari 20142652.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;
jaaropgaaf-aow 0220 theo2653.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;Jaaropgave
jaaropgaaf-aow-anw 20192654.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;Jaaropgave
Jaaropgave 20192655.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;Jaaropgave
MijnAOW 20152656.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;
Specificatie AOW Theo januari   20202657.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;
Loonstroken\_2020\_PersNr\_1055\_Geurts\_P32936.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
SVB AAnvragen AOW pensioen Riet2658.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;
SVB Aow PER 8-820152659.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;
SVB brief 23 feb 2012 Aanvragen AOW   pensioen2660.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;Brief
SVB uw-jaaropgave 2017 AOW  Theo2661.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;Jaaropgave
SVB wijziging tegenrekening2662.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;Factuur
svb-aow-2021brochure2663.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;Brochure
Factuur-2026-1331-239..pdf;;Factuur-2026-1331.pdf;Riet Geurts;2026-02-14 08:48:58;riet.geurts\@outlook.com;;;;;;;;;;Factuur
Loonstroken\_2020\_PersNr\_1055\_Geurts\_P12932.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Documentenstructuur & theoretisch   kader DH\_Achterkant2798.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Documentstructuur DH\_Achterkant2799.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Functies DH\_Achterkantv022800.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Functionele Test Cases   DH\_Achterkantv012801.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Bijlage Energierapport mei-59..pdf;;Je verbruiksgegevens;Eneco;2026-06-07 13:36:51;Eneco\_noreply\@eneco.com;;;;;;;;;;Rapport
huishoudelijke uitgaven mei 20080032.pdf;N\:administratie\rapporten huishoudelijke uitgaven 2008;;;;;administratie;rapporten huishoudelijke uitgaven 2008;;;Bezigheid;administratie;;;;Rapport
huishoudelijke uitgaven september   20080033.pdf;N\:administratie\rapporten huishoudelijke uitgaven 2008;;;;;administratie;rapporten huishoudelijke uitgaven 2008;;;Bezigheid;administratie;;;;Rapport
overige uitgaven april 20080034.pdf;N\:administratie\rapporten overige uitgaven 2008;;;;;administratie;rapporten overige uitgaven 2008;;;Bezigheid;administratie;;;;Rapport
Overige uitgaven augustus 20080035.pdf;N\:administratie\rapporten overige uitgaven 2008;;;;;administratie;rapporten overige uitgaven 2008;;;Bezigheid;administratie;;;;Rapport
2023121165852 factuur SISE R   Geurts-119..pdf;;Fw: Factuur;Riet Geurts;2026-04-25 11:31:26;riet.geurts\@outlook.com;;;;;;;;;;Factuur
ANWB aanmaning verzekering   1609020240157.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;Aanmaning
ANWB Brief 11-2-2019 Q-park0158.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;Brief
Loonstroken\_2020\_PersNr\_1055\_Geurts\_P22935.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
ANWB contributie en opzegging   11-7-20180159.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;
ANWB factuur 100720160160.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;Factuur
ANWB Factuur 20160161.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;Factuur
ANWB Factuur 20170162.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;Factuur
ANWB factuur Autobahn vignet Zwitserland   270620210163.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;Factuur
ANWB factuur lidmaatschap 20220164.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;Factuur
BEVESTIGING\_ORDER 08-44-2024 14.44.14.674   070620240165.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;Bevestiging
brief\_81393936\_165504228 080920230166.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;Brief
Wegenwacht klacht 29 mei 20240167.docx;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;
Decl001 Taxi bon naar NH hotel0168.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;
Decl002 Factuur NH hotel 260920250169.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;Factuur
Decl003 Factuur Hohl KG garage voor   wegslepen0170.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;Factuur
Decl004 Factuur Dorint hotel   2909202250171.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;Factuur
Decl005 Factuur Dorint hotel   300920250172.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;Factuur
Decl006 Taxi bon naar Sixt0173.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;
Decl007 Huur Fontanacota 5 tot   12okt20250174.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;
Decl008 Huur Fontanacota 12 tot 15   okt20250175.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;
Decl009 Taxi bon naar VW garage0176.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;
Decl010 trein Basel Mannhem0177.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;
Decl010 trein Mainhem Basel0178.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;
Toelichting op de declaratie ivm autopech   26 september 20250179.docx;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;
Toelichting op de declaratie ivm autopech   26 september 20250180.pdf;N\:auto\ANWB\Declaraties okt 2025;;;;;auto;ANWB;Declaraties okt 2025;;"Geval; Bezigheid";auto;Autobedrijf;Declaraties okt 2025;;
Ingevuld Europees schade   formulier0181.pdf;N\:auto\Auto ongeluk;;;;;auto;Auto ongeluk;;;Bezigheid;auto;;Auto ongeluk;;Schadeaangifte
Toedracht VRS24044210182.docx;N\:auto\Auto ongeluk;;;;;auto;Auto ongeluk;;;Bezigheid;auto;;Auto ongeluk;;
Toelichting bij de invulling van het   Europees schadeformulier0183.docx;N\:auto\Auto ongeluk;;;;;auto;Auto ongeluk;;;Bezigheid;auto;;Auto ongeluk;;Schadeaangifte
Toelichting bij de invulling van het   Europees schadeformulier0184.pdf;N\:auto\Auto ongeluk;;;;;auto;Auto ongeluk;;;Bezigheid;auto;;Auto ongeluk;;Schadeaangifte
Brief extralooptijd museumkaart riet   050620202897.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Brief
Brief extralooptijd museumkaart theo   050620202898.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Brief
Brief museumjaarkaart 2022 2023   130720222899.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Brief
Brief nieuwe einddatum museumkaart   1-10-2020 riet2900.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Brief
Brief nieuwe einddatum museumkaart   1-12-2020 theo2901.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Brief
Brief nieuwe einddatum museumkaart   2-2-2022 riet2902.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Brief
Brief nieuwe einddatum museumkaart   2-2-2022 theo2903.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Brief
Mueseumkaart factuur 30092020   Theo2904.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Factuur
Mueseumkaart factuur-11788337   Theo2905.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Factuur
Museum vereniging factuur kaart riet 2022   2023 140620222906.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Factuur
Museum vereniging factuur kaart theo 2022   2023 300520222907.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Factuur
Loonstroken\_2020\_PersNr\_1055\_Geurts\_P122934.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Museumjaarkaar factuur 2016 Riet2908.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Factuur
Museumjaarkaar factuur 2017 Riet2909.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Factuur
Inkomensformulier loonheffing2930.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;
Museumjaarkaar factuur 2019 6-5-2015   Riet2910.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Factuur
Museumjaarkaar factuur 29032022   Riet2911.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Factuur
Museumjaarkaar fbrief bestelling   jaarkaart 28042022 Riet2912.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Brief
Museumjaarkaar fbrief jaarkaart vervalt   13042022 Riet2913.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;Brief
Museumjaarkaart verlenging jaarkaart   06052016 Riet2914.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;
Museumjaarkaart verlenging jaarkaart 2017   20\`18 7-7-2017 Theo2915.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;
Museumkaart 2016 2017 Theo2916.pdf;N\:voorziening\museum;;;;;voorziening;museum;;;"Geval; Bezigheid";abonnement;Voorziening;museum;;
Lening overeenkmost Jeroen en Lambert -   Theo Riet 1\`60120222917.pdf;N\:vriend\Jeroen en Lambert;;;;;vriend;Jeroen en Lambert;;;Kwestie;;;;vriend;
Approach 071020232918.docx;N\:vriend\Kees;;;;;vriend;Kees;;;Kwestie;;;;vriend;
chatgptIdeas 0710202232919.txt;N\:vriend\Kees;;;;;vriend;Kees;;;Kwestie;;;;vriend;
Criteria for completeness   071020232920.docx;N\:vriend\Kees;;;;;vriend;Kees;;;Kwestie;;;;vriend;
portfolio 161020232921.docx;N\:vriend\Kees;;;;;vriend;Kees;;;Kwestie;;;;vriend;
Brief bevestiging lidmaatschap   20-4-20202922.pdf;N\:werk\CNV;;;;;werk;CNV;;;Geval;;Belangenorganisatie;CNV;;Brief
Brief herinnering betaling   200620202923.pdf;N\:werk\CNV;;;;;werk;CNV;;;Geval;;Belangenorganisatie;CNV;;Aanmaning
annualstatement\_2022-12924.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Jaaroverzicht
Brief aan Tineke ten Hoopen na Freddies   dood2925.docx;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Brief
Check je loonstrook en bereken je bruto-   en nettosalaris - Loonwijzer.nl2926.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;"Geval; Bezigheid";loonstrook;Werkgever;Vendingland;;Loonstrook
Contract Vendingland feb 20202927.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;"Geval; Bezigheid";arbeidsovereenkomst;Werkgever;Vendingland;;Overeenkomst
Loonstroken\_2020\_PersNr\_1055\_Geurts\_P42937.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Loonstroken\_2020\_PersNr\_1055\_Geurts\_P52938.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Loonstroken\_2020\_PersNr\_1055\_Geurts\_P62939.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Loonstroken\_2020\_PersNr\_1055\_Geurts\_P72940.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Loonstroken\_2020\_PersNr\_1055\_Geurts\_P82941.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Factuur C0006PKCK9-28..pdf;;Bestelling: [C0006PKCK9] Bedankt Theo! Kunnen we rekenen op jouw eerlijke   review? 😊🌟,A;roitGoods NL via bol,2;26-06-21 17:45:59,n;reply\@verkopen.bol.com,,;;;;;;;;;;Factuur
Bijlage Voorwaarden Overzicht-125..pdf;;Nieuws over je voorwaarden n.a.v. de nieuwe Energiewet;Eneco;2026-04-21 13:47:57;Eneco\_noreply\@eneco.com;;;;;;;;;;
Aveco F-SEA01R0006-20240705094738-000   050720240185.PDF;N\:auto\Auto ongeluk\Juristiek;;;;;auto;Auto ongeluk;Juristiek;;Bezigheid;auto;;Juristiek;;
Polisblad Camper Zekerheidspakket0186.pdf;N\:auto\Auto ongeluk\Juristiek;;;;;auto;Auto ongeluk;Juristiek;;Bezigheid;auto;;Juristiek;;Polisblad
Polisvoorwaarden0187.pdf;N\:auto\Auto ongeluk\Juristiek;;;;;auto;Auto ongeluk;Juristiek;;Bezigheid;auto;;Juristiek;;Polis
Verzekeringsbewijs\_P-682-FJ\_   230220240188.pdf;N\:auto\Auto ongeluk\Juristiek;;;;;auto;Auto ongeluk;Juristiek;;Bezigheid;auto;;Juristiek;;Verzekeringsbewijs
Verzoek rechtsbijstand0189.docx;N\:auto\Auto ongeluk\Juristiek;;;;;auto;Auto ongeluk;Juristiek;;Bezigheid;auto;;Juristiek;;Verzoek
Bijlage Algemene Voorwaarden-126..pdf;;Nieuws over je voorwaarden n.a.v. de nieuwe Energiewet;Eneco;2026-04-21 13:47:57;Eneco\_noreply\@eneco.com;;;;;;;;;;
Springer - Python Scripting for   Computational Science (2008)2205.pdf;N\:kursus\Python;;;;;kursus;Python;;;Bezigheid;Python;;;;
Loonstroken\_2020\_PersNr\_1055\_Geurts\_P92942.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Loonstroken\_2021\_PersNr\_1055\_Geurts\_P12943.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Loonstroken\_2021\_PersNr\_1055\_Geurts\_P2   (1)2944.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Loonstroken\_2021\_PersNr\_1055\_Geurts\_P2   feb 20212945.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Loonstroken\_2021\_PersNr\_1055\_Geurts\_P32946.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
GUI DH\_Achterkantv022802.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Model Viwe controler2803.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
